Earthquakes used: 293452
Non-empty cells (features): 9915

CUDA K-Means centroids:
Cluster 0 -> count_center=67.88, avgMag_center=4.79
Cluster 1 -> count_center=6.00, avgMag_center=4.80
Cluster 2 -> count_center=234.00, avgMag_center=4.80

========== TIMING RESULTS ==========
CUDA K-Means time (GPU only): 10.354 ms
Block size used:              128
====================================

Cluster ranking by activity:
Rank 0 -> Cluster 1 (quiet)
Rank 1 -> Cluster 0 (moderate)
Rank 2 -> Cluster 2 (hotspot)

Hotspot map (one line per non-empty cell):
lat_center,lon_center,count,avgMag,clusterId,clusterLabel
-57.500,-65.500,4,5.075,1,quiet
-57.500,-31.500,1,4.700,1,quiet
-57.500,-30.500,3,4.733,1,quiet
-57.500,-29.500,1,4.500,1,quiet
-57.500,-28.500,1,4.900,1,quiet
-57.500,-27.500,9,4.756,1,quiet
-57.500,-26.500,42,4.662,0,moderate
-57.500,-25.500,305,4.804,2,hotspot
-57.500,-24.500,73,4.742,0,moderate
-57.500,-23.500,53,4.781,0,moderate
-57.500,-17.500,1,5.000,1,quiet
-57.500,-10.500,2,4.700,1,quiet
-57.500,-9.500,2,5.600,1,quiet
-57.500,-8.500,1,5.200,1,quiet
-57.500,-7.500,1,4.900,1,quiet
-57.500,-6.500,1,5.300,1,quiet
-57.500,146.500,1,4.700,1,quiet
-57.500,147.500,16,4.719,1,quiet
-57.500,148.500,2,5.550,1,quiet
-57.500,149.500,1,4.500,1,quiet
-57.500,157.500,31,5.016,1,quiet
-57.500,158.500,2,4.700,1,quiet
-56.500,-150.500,23,4.874,1,quiet
-56.500,-147.500,1,5.000,1,quiet
-56.500,-144.500,3,4.733,1,quiet
-56.500,-143.500,27,5.004,1,quiet
-56.500,-142.500,16,5.250,1,quiet
-56.500,-141.500,16,5.069,1,quiet
-56.500,-140.500,9,5.167,1,quiet
-56.500,-139.500,4,4.900,1,quiet
-56.500,-124.500,3,5.467,1,quiet
-56.500,-123.500,3,5.167,1,quiet
-56.500,-122.500,5,5.060,1,quiet
-56.500,-121.500,2,5.400,1,quiet
-56.500,-113.500,1,4.800,1,quiet
-56.500,-72.500,1,4.500,1,quiet
-56.500,-69.500,5,4.720,1,quiet
-56.500,-68.500,8,5.125,1,quiet
-56.500,-67.500,9,4.789,1,quiet
-56.500,-60.500,2,4.750,1,quiet
-56.500,-58.500,1,4.500,1,quiet
-56.500,-54.500,1,4.500,1,quiet
-56.500,-45.500,1,5.200,1,quiet
-56.500,-36.500,1,5.300,1,quiet
-56.500,-31.500,2,4.550,1,quiet
-56.500,-30.500,7,4.729,1,quiet
-56.500,-29.500,2,4.500,1,quiet
-56.500,-28.500,4,4.800,1,quiet
-56.500,-27.500,208,4.838,2,hotspot
-56.500,-26.500,152,4.818,2,hotspot
-56.500,-25.500,190,4.866,2,hotspot
-56.500,-24.500,41,4.737,0,moderate
-56.500,-23.500,9,4.744,1,quiet
-56.500,-6.500,9,4.889,1,quiet
-56.500,-5.500,3,4.800,1,quiet
-56.500,-4.500,3,5.000,1,quiet
-56.500,146.500,3,4.733,1,quiet
-56.500,147.500,29,4.990,1,quiet
-56.500,159.500,1,4.700,1,quiet
-56.500,177.500,1,5.500,1,quiet
-55.500,-148.500,1,5.000,1,quiet
-55.500,-145.500,5,4.660,1,quiet
-55.500,-144.500,9,4.944,1,quiet
-55.500,-143.500,2,5.150,1,quiet
-55.500,-141.500,2,4.550,1,quiet
-55.500,-130.500,1,4.700,1,quiet
-55.500,-129.500,12,4.983,1,quiet
-55.500,-128.500,26,5.115,1,quiet
-55.500,-127.500,7,5.129,1,quiet
-55.500,-126.500,4,4.975,1,quiet
-55.500,-125.500,1,6.100,1,quiet
-55.500,-124.500,19,4.926,1,quiet
-55.500,-123.500,14,5.136,1,quiet
-55.500,-122.500,3,5.500,1,quiet
-55.500,-121.500,4,4.675,1,quiet
-55.500,-36.500,4,4.575,1,quiet
-55.500,-35.500,6,4.683,1,quiet
-55.500,-34.500,1,5.000,1,quiet
-55.500,-33.500,2,4.750,1,quiet
-55.500,-32.500,28,4.818,1,quiet
-55.500,-31.500,109,4.771,0,moderate
-55.500,-30.500,83,4.771,0,moderate
-55.500,-29.500,44,4.845,0,moderate
-55.500,-28.500,102,4.840,0,moderate
-55.500,-27.500,183,4.807,2,hotspot
-55.500,-26.500,119,4.765,0,moderate
-55.500,-25.500,14,4.750,1,quiet
-55.500,-24.500,3,4.633,1,quiet
-55.500,-3.500,1,4.600,1,quiet
-55.500,-1.500,7,4.814,1,quiet
-55.500,5.500,1,4.500,1,quiet
-55.500,146.500,6,5.433,1,quiet
-55.500,147.500,6,4.917,1,quiet
-55.500,158.500,5,4.980,1,quiet
-54.500,-146.500,6,5.083,1,quiet
-54.500,-143.500,1,4.900,1,quiet
-54.500,-140.500,1,5.000,1,quiet
-54.500,-137.500,1,5.900,1,quiet
-54.500,-136.500,17,5.194,1,quiet
-54.500,-135.500,9,5.289,1,quiet
-54.500,-134.500,6,4.817,1,quiet
-54.500,-133.500,14,4.943,1,quiet
-54.500,-132.500,10,5.100,1,quiet
-54.500,-131.500,3,4.700,1,quiet
-54.500,-130.500,13,4.923,1,quiet
-54.500,-129.500,14,5.093,1,quiet
-54.500,-127.500,7,4.757,1,quiet
-54.500,-126.500,2,5.100,1,quiet
-54.500,-121.500,1,5.000,1,quiet
-54.500,-120.500,6,4.683,1,quiet
-54.500,-119.500,9,4.856,1,quiet
-54.500,-118.500,9,4.967,1,quiet
-54.500,-61.500,1,5.000,1,quiet
-54.500,-60.500,1,4.600,1,quiet
-54.500,-59.500,2,4.700,1,quiet
-54.500,-58.500,2,4.900,1,quiet
-54.500,-57.500,1,4.600,1,quiet
-54.500,-56.500,3,4.733,1,quiet
-54.500,-55.500,3,4.667,1,quiet
-54.500,-48.500,1,5.000,1,quiet
-54.500,-40.500,1,5.000,1,quiet
-54.500,-39.500,2,4.950,1,quiet
-54.500,-33.500,1,4.500,1,quiet
-54.500,-32.500,4,4.775,1,quiet
-54.500,-31.500,23,4.709,1,quiet
-54.500,-30.500,28,4.739,1,quiet
-54.500,-29.500,2,4.850,1,quiet
-54.500,-28.500,2,4.600,1,quiet
-54.500,-27.500,2,5.100,1,quiet
-54.500,-26.500,1,4.600,1,quiet
-54.500,-23.500,3,4.967,1,quiet
-54.500,-2.500,12,4.867,1,quiet
-54.500,-1.500,6,4.983,1,quiet
-54.500,-0.500,3,4.833,1,quiet
-54.500,1.500,1,5.900,1,quiet
-54.500,2.500,1,6.500,1,quiet
-54.500,3.500,1,4.700,1,quiet
-54.500,5.500,11,4.864,1,quiet
-54.500,6.500,6,5.083,1,quiet
-54.500,7.500,10,4.940,1,quiet
-54.500,8.500,5,5.240,1,quiet
-54.500,18.500,1,5.400,1,quiet
-54.500,140.500,5,4.780,1,quiet
-54.500,141.500,6,4.583,1,quiet
-54.500,142.500,4,4.750,1,quiet
-54.500,143.500,3,4.933,1,quiet
-54.500,144.500,6,5.200,1,quiet
-54.500,145.500,2,5.100,1,quiet
-54.500,146.500,2,4.600,1,quiet
-54.500,155.500,3,5.433,1,quiet
-54.500,157.500,1,4.500,1,quiet
-54.500,158.500,12,4.942,1,quiet
-54.500,159.500,8,5.088,1,quiet
-53.500,-146.500,2,4.550,1,quiet
-53.500,-136.500,3,4.633,1,quiet
-53.500,-134.500,13,5.054,1,quiet
-53.500,-133.500,7,5.000,1,quiet
-53.500,-132.500,1,4.800,1,quiet
-53.500,-118.500,5,5.120,1,quiet
-53.500,-117.500,6,5.133,1,quiet
-53.500,-64.500,1,4.500,1,quiet
-53.500,-55.500,1,4.900,1,quiet
-53.500,-51.500,1,5.000,1,quiet
-53.500,-48.500,1,5.200,1,quiet
-53.500,-47.500,2,4.750,1,quiet
-53.500,-46.500,5,4.800,1,quiet
-53.500,-45.500,1,4.700,1,quiet
-53.500,-41.500,1,5.200,1,quiet
-53.500,-24.500,1,4.600,1,quiet
-53.500,-21.500,1,4.900,1,quiet
-53.500,-4.500,2,5.250,1,quiet
-53.500,-3.500,1,4.900,1,quiet
-53.500,-2.500,4,4.800,1,quiet
-53.500,-1.500,2,4.650,1,quiet
-53.500,1.500,1,4.900,1,quiet
-53.500,2.500,4,5.050,1,quiet
-53.500,3.500,2,5.100,1,quiet
-53.500,6.500,3,4.533,1,quiet
-53.500,7.500,1,4.700,1,quiet
-53.500,8.500,1,4.600,1,quiet
-53.500,9.500,6,5.417,1,quiet
-53.500,11.500,3,5.033,1,quiet
-53.500,19.500,1,5.000,1,quiet
-53.500,20.500,1,4.500,1,quiet
-53.500,21.500,4,5.050,1,quiet
-53.500,22.500,5,4.880,1,quiet
-53.500,23.500,13,4.808,1,quiet
-53.500,24.500,18,4.589,1,quiet
-53.500,25.500,11,4.864,1,quiet
-53.500,26.500,1,4.500,1,quiet
-53.500,28.500,1,4.500,1,quiet
-53.500,139.500,3,4.700,1,quiet
