KMeans_ms 1 process: 0.895ms
										
Total lines processed: 293458					
Non-empty cells: 9915					
					
Cluster centroids (count	avgMag):				
Cluster 0: 11.86 4.92					
Cluster 1: 183.90 4.90					
Cluster 2: 640.09 4.92					
					
Cluster ranking:					
Rank 0: Cluster 0 (quiet)					
Rank 1: Cluster 1 (moderate)					
Rank 2: Cluster 2 (hotspot)					
					
Hotspot map:					
lat	lon	count	avgMag	cluster	label
-60.5	-20.5	15	5.443	0	quiet
-60.5	-19.5	28	4.975	0	quiet
-60.5	-18.5	19	5	0	quiet
-60.5	82.5	1	4.6	0	quiet
-60.5	147.5	1	6.04	0	quiet
-60.5	148.5	1	5.86	0	quiet
-60.5	149.5	2	5.6	0	quiet
-60.5	150.5	7	5.643	0	quiet
-60.5	151.5	4	4.965	0	quiet
-60.5	152.5	8	4.838	0	quiet
-60.5	153.5	24	5.545	0	quiet
-60.5	154.5	18	5.751	0	quiet
-60.5	155.5	2	4.7	0	quiet
-60.5	159.5	8	4.937	0	quiet
-60.5	160.5	5	5.58	0	quiet
-60.5	162.5	1	4.7	0	quiet
-59.5	-159.5	4	5.425	0	quiet
-59.5	-151.5	26	4.9	0	quiet
-59.5	-150.5	10	5.503	0	quiet
-59.5	-148.5	2	4.9	0	quiet
-59.5	-76.5	1	4.9	0	quiet
-59.5	-65.5	3	5.457	0	quiet
-59.5	-64.5	1	4.9	0	quiet
-59.5	-62.5	2	4.7	0	quiet
-59.5	-61.5	7	5.086	0	quiet
-59.5	-60.5	5	4.78	0	quiet
-59.5	-59.5	3	5.033	0	quiet
-59.5	-58.5	8	4.975	0	quiet
-59.5	-53.5	1	5	0	quiet
-59.5	-50.5	1	4.5	0	quiet
-59.5	-40.5	1	4.7	0	quiet
-59.5	-32.5	1	4.7	0	quiet
-59.5	-31.5	3	5.3	0	quiet
-59.5	-30.5	4	4.825	0	quiet
-59.5	-29.5	35	5.046	0	quiet
-59.5	-28.5	17	5.042	0	quiet
-59.5	-27.5	62	4.996	0	quiet
-59.5	-26.5	396	4.996	1	moderate
-59.5	-25.5	364	4.823	1	moderate
-59.5	-24.5	69	4.754	0	quiet
-59.5	-23.5	32	4.894	0	quiet
-59.5	-22.5	2	4.8	0	quiet
-59.5	-21.5	2	5.1	0	quiet
-59.5	-20.5	6	5.52	0	quiet
-59.5	-19.5	5	4.84	0	quiet
-59.5	-18.5	18	5.094	0	quiet
-59.5	-17.5	19	5.258	0	quiet
-59.5	-16.5	7	5.386	0	quiet
-59.5	148.5	10	4.877	0	quiet
-59.5	149.5	33	5.109	0	quiet
-59.5	150.5	11	5.635	0	quiet
-59.5	154.5	1	6.2	0	quiet
-59.5	157.5	1	5.4	0	quiet
-59.5	158.5	9	5.611	0	quiet
-59.5	159.5	18	5.102	0	quiet
-59.5	160.5	2	4.65	0	quiet
-58.5	-159.5	2	4.8	0	quiet
-58.5	-152.5	1	4.5	0	quiet
-58.5	-150.5	1	4.6	0	quiet
-58.5	-149.5	7	4.957	0	quiet
-58.5	-148.5	2	4.6	0	quiet
-58.5	-147.5	1	4.8	0	quiet
-58.5	-146.5	1	4.6	0	quiet
-58.5	-144.5	1	4.9	0	quiet
-58.5	-143.5	1	5.5	0	quiet
-58.5	-142.5	1	6.16	0	quiet
-58.5	-139.5	29	4.969	0	quiet
-58.5	-129.5	1	6.17	0	quiet
-58.5	-121.5	1	4.6	0	quiet
-58.5	-65.5	3	5.823	0	quiet
-58.5	-64.5	1	5.4	0	quiet
-58.5	-63.5	1	5.5	0	quiet
-58.5	-62.5	5	5.12	0	quiet
-58.5	-61.5	4	5.05	0	quiet
-58.5	-59.5	1	4.7	0	quiet
-58.5	-30.5	2	4.7	0	quiet
-58.5	-29.5	16	4.775	0	quiet
-58.5	-28.5	1	4.9	0	quiet
-58.5	-27.5	5	4.96	0	quiet
-58.5	-26.5	89	4.963	0	quiet
-58.5	-25.5	575	4.906	2	hotspot
-58.5	-24.5	186	4.857	1	moderate
-58.5	-23.5	131	4.818	1	moderate
-58.5	-22.5	9	5.2	0	quiet
-58.5	-21.5	10	4.81	0	quiet
-58.5	-17.5	1	4.7	0	quiet
-58.5	-16.5	8	5.05	0	quiet
-58.5	-15.5	9	5.376	0	quiet
-58.5	-14.5	13	5.269	0	quiet
-58.5	-13.5	6	5.5	0	quiet
-58.5	-12.5	3	5.8	0	quiet
-58.5	-11.5	5	5.36	0	quiet
-58.5	-10.5	4	5.325	0	quiet
-58.5	-9.5	8	5.453	0	quiet
-58.5	-8.5	4	4.775	0	quiet
-58.5	-7.5	4	5.975	0	quiet
-58.5	-6.5	1	5.6	0	quiet
-58.5	145.5	1	5.95	0	quiet
-58.5	147.5	4	5.572	0	quiet
-58.5	148.5	21	5.062	0	quiet
-58.5	149.5	20	5.21	0	quiet
-58.5	150.5	1	4.5	0	quiet
-58.5	157.5	6	5.407	0	quiet
-58.5	158.5	15	5.36	0	quiet
-58.5	159.5	1	6.8	0	quiet
-58.5	160.5	1	6.37	0	quiet
-57.5	-161.5	1	5.3	0	quiet
-57.5	-150.5	4	4.85	0	quiet
-57.5	-149.5	2	5	0	quiet
-57.5	-148.5	4	4.775	0	quiet
-57.5	-147.5	26	5.019	0	quiet
-57.5	-146.5	2	5.135	0	quiet
-57.5	-143.5	3	5.2	0	quiet
-57.5	-142.5	13	5.138	0	quiet
-57.5	-141.5	13	5.323	0	quiet
-57.5	-140.5	9	5.067	0	quiet
-57.5	-139.5	5	5.612	0	quiet
-57.5	-138.5	1	4.5	0	quiet
-57.5	-68.5	5	4.66	0	quiet
-57.5	-67.5	57	4.882	0	quiet
-57.5	-66.5	31	4.986	0	quiet
-57.5	-65.5	18	5.216	0	quiet
-57.5	-64.5	3	5.467	0	quiet
-57.5	-31.5	1	4.7	0	quiet
-57.5	-30.5	3	4.733	0	quiet
-57.5	-29.5	7	4.929	0	quiet
-57.5	-28.5	1	4.9	0	quiet
-57.5	-27.5	16	4.888	0	quiet
-57.5	-26.5	67	4.789	0	quiet
-57.5	-25.5	524	4.89	2	hotspot
-57.5	-24.5	113	4.843	1	moderate
-57.5	-23.5	71	4.925	0	quiet
-57.5	-17.5	1	5	0	quiet
-57.5	-16.5	1	4.6	0	quiet
-57.5	-10.5	4	5.2	0	quiet
-57.5	-9.5	8	5.183	0	quiet
-57.5	-8.5	4	5.25	0	quiet
-57.5	-7.5	6	5.533	0	quiet
-57.5	-6.5	6	5.25	0	quiet
-57.5	83.5	1	5.4	0	quiet
-57.5	144.5	1	6.07	0	quiet
-57.5	146.5	1	5.1	0	quiet
-57.5	147.5	37	4.992	0	quiet
-57.5	148.5	14	5.421	0	quiet
-57.5	149.5	2	4.6	0	quiet
-57.5	157.5	42	5.047	0	quiet
-57.5	158.5	2	4.7	0	quiet
-57.5	160.5	1	5.57	0	quiet
-56.5	-155.5	2	4.95	0	quiet
-56.5	-150.5	42	4.829	0	quiet
-56.5	-147.5	2	4.8	0	quiet
-56.5	-144.5	14	5.071	0	quiet
-56.5	-143.5	49	5.112	0	quiet
-56.5	-142.5	49	5.384	0	quiet
-56.5	-141.5	42	5.214	0	quiet
-56.5	-140.5	25	5.136	0	quiet
-56.5	-139.5	14	5.064	0	quiet
-56.5	-138.5	2	5.05	0	quiet
-56.5	-128.5	2	5.15	0	quiet
-56.5	-126.5	1	5.1	0	quiet
-56.5	-125.5	2	4.65	0	quiet
-56.5	-124.5	5	5.4	0	quiet
-56.5	-123.5	10	5.39	0	quiet
-56.5	-122.5	18	5.828	0	quiet
-56.5	-121.5	5	5.746	0	quiet
-56.5	-86.5	1	4.5	0	quiet
-56.5	-72.5	1	4.5	0	quiet
-56.5	-70.5	1	6.28	0	quiet
-56.5	-69.5	5	4.72	0	quiet
-56.5	-68.5	14	5.186	0	quiet
-56.5	-67.5	10	4.83	0	quiet
-56.5	-60.5	1	5	0	quiet
-56.5	-58.5	3	5.067	0	quiet
-56.5	-54.5	1	4.5	0	quiet
-56.5	-53.5	1	4.6	0	quiet
-56.5	-48.5	1	6.4	0	quiet
