Total lines processed: 293452
Non-empty cells: 9915

Cluster centroids (count, avgMag):
• Cluster 0: count_center=11.86, avgMag_center=4.92
• Cluster 1: count_center=183.90, avgMag_center=4.90
• Cluster 2: count_center=640.09, avgMag_center=4.92

========================================================
Pthreads K-Means execution time with 2 threads: 4.023 ms
========================================================

Cluster ranking by activity:
• Rank 0: Cluster 0 (quiet)
• Rank 1: Cluster 1 (moderate)
• Rank 2: Cluster 2 (hotspot)

Hotspot map (one line per non-empty cell):
lat_center,lon_center,count,avgMag,clusterId,clusterLabel
-58.500,-61.500,4,5.050,0,quiet
-58.500,-59.500,1,4.700,0,quiet
-58.500,-30.500,2,4.700,0,quiet
-58.500,-29.500,16,4.775,0,quiet
-58.500,-28.500,1,4.900,0,quiet
-58.500,-27.500,5,4.960,0,quiet
-58.500,-26.500,89,4.963,0,quiet
-58.500,-25.500,575,4.906,2,hotspot
-58.500,-24.500,186,4.857,1,moderate
-58.500,-23.500,131,4.818,1,moderate
-58.500,-22.500,9,5.200,0,quiet
-58.500,-21.500,10,4.810,0,quiet
-58.500,-17.500,1,4.700,0,quiet
-58.500,-16.500,8,5.050,0,quiet
-58.500,-15.500,9,5.376,0,quiet
-58.500,-14.500,13,5.269,0,quiet
-58.500,-13.500,6,5.500,0,quiet
-58.500,-12.500,3,5.800,0,quiet
-58.500,-11.500,5,5.360,0,quiet
-58.500,-10.500,4,5.325,0,quiet
-58.500,-9.500,8,5.453,0,quiet
-58.500,-8.500,4,4.775,0,quiet
-58.500,-7.500,4,5.975,0,quiet
-58.500,-6.500,1,5.600,0,quiet
-58.500,145.500,1,5.950,0,quiet
-58.500,147.500,4,5.572,0,quiet
-58.500,148.500,21,5.062,0,quiet
-58.500,149.500,20,5.210,0,quiet
-58.500,150.500,1,4.500,0,quiet
-58.500,157.500,6,5.407,0,quiet
-58.500,158.500,15,5.360,0,quiet
-58.500,159.500,1,6.800,0,quiet
-58.500,160.500,1,6.370,0,quiet
-57.500,-161.500,1,5.300,0,quiet
-57.500,-150.500,4,4.850,0,quiet
-57.500,-149.500,2,5.000,0,quiet
-57.500,-148.500,4,4.775,0,quiet
-57.500,-147.500,26,5.019,0,quiet
-57.500,-146.500,2,5.135,0,quiet
-57.500,-143.500,3,5.200,0,quiet
-57.500,-142.500,13,5.138,0,quiet
-57.500,-141.500,13,5.323,0,quiet
-57.500,-140.500,9,5.067,0,quiet
-57.500,-139.500,5,5.612,0,quiet
-57.500,-138.500,1,4.500,0,quiet
-57.500,-68.500,5,4.660,0,quiet
-57.500,-67.500,57,4.882,0,quiet
-57.500,-66.500,31,4.986,0,quiet
